,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Undergraduate,36559,36663,37121,37978,38715,40022,41663,43110,44395,44878,45518,46322
Percentage increase (%),,0.284471676,1.249215831,2.308666254,1.940597188,3.375952473,4.100244865,3.473105633,2.980746926,1.087960356,1.426088507,1.766334197
